"District","Division","Area","Club Number","Club Name","Club Status","CSP","Mem. Base","Active Members","Net Growth","Goals Met","Level 1s","Level 2s","Add. Level 2s","Level 3s","Level 4s, Path Completions, or DTM Awards","Add. Level 4s, Path Completions, or DTM award","New Members","Add. New Members","Off. Trained Round 1","Off. Trained Round 2","Mem. dues on time Oct","Mem. dues on time Apr","Off. List On Time","Club Distinguished Status"
"82","G","02","07207259","Battaramulla Toastmasters Club","Active","Y","17","18","1","7","1","1","0","2","1","2","4","4","7","7","1","0","1",""
"82","G","02","07538442","Find Your Voice Toastmasters Club","Low","Y","11","6","-5","1","0","0","0","0","0","0","1","0","4","4","0","0","1",""
"82","G","02","07794085","UOC Toastmasters Club","Active","Y","26","30","4","7","4","2","0","1","1","0","4","11","7","7","1","0","1",""
"82","G","02","28676602","TalkCrafters Toastmasters Club","Active","Y","12","12","0","2","0","0","0","0","0","0","0","0","7","6","1","0","1",""
"82","G","03","01223810","Jaffna Toastmasters Club (JTMC)","Active","Y","11","8","-3","1","0","0","0","0","0","0","4","2","0","0","0","0","1",""
"82","G","03","02549382","Anuradhapura Toastmasters Club","Active","Y","26","23","-3","6","2","2","0","2","1","0","4","3","7","5","1","0","1",""
"82","G","03","03179593","Kekirawa Toastmasters","Low","Y","13","5","-8","0","0","0","0","0","0","0","0","0","3","3","0","0","1",""
"82","G","03","07391111","Puttalam Toastmasters","Active","Y","14","8","-6","0","0","0","0","0","0","0","0","0","1","0","0","0","1",""
"82","G","03","28676100","Rajarata University Toastmasters Club","Low","Y","20","3","-17","0","0","0","0","0","0","0","0","0","3","0","0","0","1",""
"82","G","04","04048942","Rizing Lanka Toastmasters Club","Active","Y","28","23","-5","3","0","0","0","0","0","0","4","1","6","6","1","0","1",""
"82","G","04","04278308","Pinnacle Advanced Toastmasters Club","Active","Y","30","30","0","4","0","0","0","1","1","1","1","0","7","4","1","0","1",""
"82","G","04","07901236","Saturday Circle Toastmasters Club","Active","Y","20","13","-7","4","0","0","0","1","1","2","3","0","6","4","1","0","1",""
"82","G","04","07987754","hSenid Toastmasters Club","Active","Y","12","15","3","6","3","1","0","3","1","1","4","3","6","6","1","0","1",""
"82","G","04","28678718","CFL Toastmasters Club","Ineligible","N","20","0","-20","0","0","0","0","0","0","0","0","0","2","0","0","0","1",""
"82","H","01","01514977","Wattala Toastmasters Club","Active","Y","28","29","1","9","6","2","4","2","1","0","4","6","7","7","1","0","1",""
"82","H","01","03200777","Sunday Live Speakers Forum","Active","Y","21","8","-13","3","0","1","0","0","1","0","0","0","6","7","1","0","1",""
"82","H","01","07390865","Negombo Speakers Forum","Active","Y","22","17","-5","4","3","1","0","0","1","0","4","0","6","6","1","0","1",""
"82","H","01","28678062","United Tractors Toastmasters Club","Active","Y","32","32","0","2","3","0","0","0","0","0","3","0","6","6","1","0","1",""
"82","H","02","01055854","Wayamba Toastmasters","Active","Y","28","30","2","6","1","0","0","0","1","1","4","5","7","7","1","0","1",""
"82","H","02","01378886","Omega Line","Active","Y","74","70","-4","10","7","2","2","2","1","2","4","4","7","7","1","0","1",""
"82","H","02","01818104","Negombo Toastmasters","Active","Y","23","30","7","8","3","2","0","3","1","6","4","5","7","7","1","1","1",""
"82","H","02","07856786","Silvermill Toastmasters Club","Active","Y","14","19","5","10","5","2","2","5","1","4","4","4","7","7","1","0","1",""
"82","H","02","28679004","IAB Toastmasters Club","Active","Y","42","41","-1","2","0","0","0","0","0","0","2","0","7","7","1","0","1",""
"82","H","03","00777976","FTZ Toastmasters Club","Active","Y","21","16","-5","4","0","0","0","0","1","0","4","2","6","4","1","0","1",""
"82","H","03","06604478","Ja-Ela Toastmasters Club","Active","Y","20","28","8","6","1","1","0","0","1","2","4","8","7","7","1","0","1",""
"82","H","03","07855253","Ampara Toastmasters Club","Active","Y","8","9","1","2","0","0","0","1","1","0","3","0","7","7","0","0","1",""
"82","H","03","28675770","Star Garments Toastmasters Club","Active","Y","32","27","-5","4","1","1","0","0","1","0","4","1","7","7","1","0","1",""
"82","H","04","00007639","SriLankan Airlines Toastmasters Club","Active","Y","22","23","1","6","2","2","0","1","1","0","4","4","7","7","1","0","1",""
"82","H","04","05144557","Minuwangoda Toastmasters Club","Active","Y","20","16","-4","3","0","0","0","0","1","0","1","0","7","7","1","0","1",""
"82","H","04","07832471","Ragama Toastmasters Club","Active","Y","34","28","-6","8","4","2","1","2","1","1","4","1","7","7","1","0","1",""
"82","H","04","07975669","Ceylon Advanced Toastmasters Club","Active","Y","11","8","-3","2","0","0","0","0","0","0","0","0","6","4","1","0","1",""
"82","H","04","28675349","Ansell Textiles Lanka Toastmasters Club","Active","Y","20","13","-7","2","0","0","0","0","0","0","4","1","7","5","0","0","1",""
"82","I","01","02302941","Expolanka Toastmasters Club","Active","Y","34","36","2","6","2","2","1","0","1","1","4","2","7","7","1","0","1",""
"82","I","01","04903005","CMA SRI LANKA TOASTMASTERS CLUB","Active","Y","11","12","1","3","1","1","0","1","0","0","4","0","6","6","1","0","1",""
"82","I","01","07287138","Maharagama Toastmasters","Active","Y","28","24","-4","5","1","2","0","2","0","0","4","1","7","6","1","0","1",""
"82","I","01","07855572","Capital Toastmasters Club","Active","Y","22","20","-2","3","2","1","0","1","0","0","4","1","6","7","1","0","1",""
"82","I","01","28678414","Codegen Toastmasters","Active","Y","21","9","-12","2","0","0","0","0","0","0","4","1","4","1","1","0","1",""
"82","I","02","00907646","IIESL Toastmasters Club","Low","Y","9","6","-3","0","1","0","0","0","0","0","3","0","2","0","0","0","1",""
"82","I","02","01122025","Panadura Toastmasters","Active","Y","40","47","7","10","9","2","5","2","1","2","4","13","7","7","1","0","1",""
"82","I","02","02321352","Aitken Spence Toastmasters","Active","Y","26","25","-1","4","0","0","0","0","1","0","4","3","7","5","1","0","1",""
"82","I","02","07022211","ITUM Toastmasters Club","Ineligible","Y","8","3","-5","0","0","0","0","0","0","0","2","0","1","0","0","0","1",""
"82","I","02","07959271","Improvers Toastmasters Club","Active","Y","13","18","5","4","3","0","0","0","1","0","4","6","4","1","1","0","1",""
"82","I","03","06602877","Kegalle Toastmasters Club","Active","Y","26","25","-1","8","6","2","6","0","1","1","4","3","7","7","1","0","1",""
"82","I","03","06650357","Dowels Toastmasters Club","Active","Y","25","31","6","9","7","2","4","1","1","1","4","9","7","7","1","1","1",""
"82","I","03","07794099","Central Link Toastmasters Club","Active","Y","30","37","7","7","4","0","0","2","1","0","4","12","7","7","1","0","1",""
"82","I","03","07966661","Professionals Beyond Boundaries Toastmasters Club","Active","Y","15","20","5","4","3","1","0","0","1","0","4","3","7","7","1","0","1",""
"82","I","04","00822324","Kandy Toastmasters Club","Active","Y","24","25","1","9","5","2","1","2","1","2","4","5","7","7","1","0","1",""
"82","I","04","07232170","Kandy Lions Toastmasters Club","Active","Y","22","18","-4","6","1","2","0","2","1","1","4","3","4","1","1","0","1",""
"82","I","04","07856902","Digana Toastmasters","Active","Y","13","9","-4","1","0","0","0","0","0","0","2","0","0","0","1","0","1",""
"82","I","04","07913101","Peradeniya University Toastmasters Club","Active","Y","15","22","7","5","1","1","0","2","0","0","4","6","5","4","1","0","1",""
"82","I","04","28679036","Esoft Uni Kandy Toastmasters Club","Low","Y","20","4","-16","0","0","0","0","0","0","0","1","0","6","1","0","0","1",""
Month of Feb, As of 03/05/2026
