"District","Division","Area","Club Number","Club Name","Club Status","CSP","Mem. Base","Active Members","Net Growth","Goals Met","Level 1s","Level 2s","Add. Level 2s","Level 3s","Level 4s, Path Completions, or DTM Awards","Add. Level 4s, Path Completions, or DTM award","New Members","Add. New Members","Off. Trained Round 1","Off. Trained Round 2","Mem. dues on time Oct","Mem. dues on time Apr","Off. List On Time","Club Distinguished Status"
"82","F","02","05270893","PLC Toastmasters Club","Active","Y","25","34","9","10","8","2","2","2","1","2","4","14","7","7","1","1","1","M"
"82","F","02","28676698","Martin Bauer Hayleys Toastmasters Club","Active","Y","22","27","5","8","9","2","3","3","1","0","4","1","6","6","1","1","1","S"
"82","F","03","01357117","HILL CAPITAL TOASTMASTERS","Active","Y","32","33","1","10","4","2","2","2","1","1","4","13","7","6","1","1","1","M"
"82","F","03","07111975","Voice Your Dream Toastmasters Club","Active","Y","20","14","-6","7","3","2","1","3","1","1","4","1","6","6","1","1","1",""
"82","F","03","07390888","Matale Toastmasters Club","Active","Y","21","26","5","10","5","2","3","2","1","3","4","20","7","7","1","1","1","M"
"82","F","03","28675604","APIIT Kandy Toastmasters Club","Active","Y","25","21","-4","10","5","2","2","3","1","1","4","8","7","6","1","1","1","P"
"82","F","04","01244213","Readers Toastmasters Club","Active","Y","29","32","3","9","4","2","2","1","1","2","4","7","7","6","1","1","1","P"
"82","F","04","02541805","Virtusa Colombo Toastmasters Club","Active","Y","36","44","8","10","6","2","2","3","1","1","4","18","7","6","1","1","1","M"
"82","F","04","07257255","Batticaloa Toastmasters Club","Active","Y","12","11","-1","5","1","1","0","2","1","0","4","6","6","3","1","1","1",""
"82","F","04","28675661","Fortude Toastmasters Club","Ineligible","Y","20","0","-20","0","0","0","0","0","0","0","1","0","7","3","0","0","1",""
"82","F","04","28678423","CSI Toastmasters Club","Ineligible","Y","20","0","-20","1","0","0","0","0","0","0","0","0","7","0","1","0","1",""
"82","G","01","00642857","HNB Toastmasters Club","Active","Y","63","73","10","10","5","2","2","3","1","1","4","18","7","6","1","1","1","M"
"82","G","01","01317290","APIIT Toastmasters","Active","Y","8","14","6","5","2","1","0","1","1","0","4","15","6","7","1","1","1","D"
"82","G","01","04559377","CBL Foods Toastmasters Club","Active","Y","20","29","9","9","4","2","2","2","1","0","4","8","6","4","1","1","1","P"
"82","G","01","05756861","LNP Toastmasters Club","Active","Y","20","23","3","6","2","2","0","0","1","0","4","8","6","4","1","1","1","D"
"82","G","01","07466745","Kaduwela Toastmasters Club","Active","Y","25","29","4","10","4","2","2","2","1","1","4","19","7","7","1","1","1","M"
"82","G","02","00649172","Serendib Toastmasters Club","Active","Y","22","14","-8","4","0","1","0","1","0","0","4","6","7","4","0","1","1",""
"82","G","02","05275304","Rajagiriya Toastmasters Club","Active","Y","17","31","14","10","7","2","3","5","1","1","4","19","7","7","1","1","1","M"
"82","G","02","07207259","Battaramulla Toastmasters Club","Active","Y","17","12","-5","8","1","2","0","2","1","2","4","4","7","7","1","1","1",""
"82","G","02","07538442","Find Your Voice Toastmasters Club","Active","Y","11","9","-2","3","0","0","0","0","0","0","4","1","4","4","0","1","1",""
